bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,649,0.03368013301013197,0.01386748844375963,0.9861325115562404
0.1,0.2,237,0.16237605831249843,0.046413502109704644,0.9535864978902954
0.2,0.30000000000000004,434,0.24511232516202316,0.18433179723502305,0.815668202764977
0.30000000000000004,0.4,5,0.3350069208029793,0.0,1.0
0.4,0.5,680,0.4159912759333786,0.5529411764705883,0.4470588235294118
0.6000000000000001,0.7000000000000001,95,0.6544358945417158,0.8947368421052632,0.10526315789473684
0.7000000000000001,0.8,1,0.7328363022324565,1.0,0.0
0.8,0.9,25,0.8000000000000002,1.0,0.0
0.9,1.0,1,0.9229614807934663,1.0,0.0
